            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , ESPAÇO CREs / órgãos da micro-região que abrangem conjunto de cidades                                                                  ,                         ,                               , Conjunto de ferramentas e funcionalidades para atender os CREs                                                                                                                                              , 02 - ESPAÇO CRE                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , FORM DEMANDAS DA CASA C/ DELEGAÇÃO AUTOMÁTICA                                ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , GUIA DE APOIO À CASA (RENDERIZADO EM FUNÇÃO DAS ATIVIDADES)                  ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Informações de Contato dos CREs                                              ,                         ,                               , Facilitar com que as casas obtenham auxílio com o seu CRE                                                                                                                                                   ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Informar que está aceitando voluntários                                      ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , LGPD: REPORTAR PROBLEMA NO SITE                                              ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , LINK P/ GRUPO DE REVISORES DA CASA                                           ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , MCP DAS CASAS ESPÍRITAS                                                      ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Nº TELEFONE ATENDIMENTO FRATERNO POR CIDADE                                  ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Novo campo: ATIVIDADES                                                       ,                         ,                               , "Servir como ""intranet"" da Casa"                                                                                                                                                                          , NOVOS TIPOS DE CAMPOS P/ PDB                                                                                                                   , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Novo campo: EVENTOS                                                          ,                         ,                               , "Similar às tarefas, mas com inicio e fim determinados, com divulgação na tela inicial"                                                                                                                     , NOVOS TIPOS DE CAMPOS P/ PDB                                                                                                                   , 
